date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
30-09-17,4854457.387,1638,200263000,34.58,577705,5789.199264,3.20514218
01-10-17,5701812.775,2106,202154000,33.1,769357,7569.401647,24.40578283
02-10-17,5414831.184,1944,194309000,34.21,1346750,6511.668666,8.71079902
03-10-17,5359153.621,1820,200443000,31.66,756207,6450.282377,9.17018725
04-10-17,4327168.952,1756,185787000,30.78,583156,7026.36909,7.31176109
05-10-17,4760751.698,1669,181640000,30.34,535107,6412.506199,7.1796419
06-10-17,4860514.893,1839,178854000,30.51,579396,7149.141668,6.70238636
07-10-17,3925161.936,1632,181077000,29.88,450194,7125.531557,6.55609323
08-10-17,3831541.124,1566,176166000,27.22,890223,6247.235421,10.41349333
09-10-17,3703738.589,1697,162116000,26.59,1145220,6313.343732,9.9633735
10-10-17,9225408.103,1883,156740000,27.84,855310,6804.434045,9.57571504
11-10-17,3812687.925,1639,164998000,27.84,530678,6643.885289,7.89306427
12-10-17,7459041.216,2089,164484000,28.86,814095,7286.080313,10.15240841
13-10-17,4866102.228,1938,170806000,27.59,820954,6488.058555,9.42636895
14-10-17,4362308.347,1666,164193000,28.15,530962,6577.776977,8.53861569
15-10-17,4150467.451,1752,168369000,27.75,430738,6398.340132,10.56831468
16-10-17,4638972.187,1870,165330000,27.23,509012,6870.542356,8.72785884
17-10-17,4416235.218,1964,162532000,28.85,582969,7385.476543,9.28115265
18-10-17,4882436.923,1816,171811000,27.4,515494,6596.805324,10.36003117
19-10-17,4090922.036,1822,164046000,26.97,296157,6147.979448,7.16871977
20-10-17,4140297.264,2040,163937000,24.82,717252,7083.033356,10.19860226
21-10-17,8020681.793,1988,147917000,24.79,813369,6839.91934,8.46340753
22-10-17,13261785.94,1697,149159000,26.1,399806,6493.949394,11.48065915
23-10-17,68764811,2266,157850000,23.48,599996,6797.841914,9.63679365
24-10-17,25156168.55,1612,141305000,27.59,1110740,6475.248316,9.87220778
25-10-17,3092319.666,1344,165660000,35,2207130,5946.942857,8.78695838
26-10-17,2935480.203,1573,209077000,30.22,1918150,7026.930122,8.4637156
27-10-17,4245728.428,1463,182148000,29.72,731325,6727.712871,5.86475042
28-10-17,3644938.374,1428,179462000,30.96,874341,7036.280661,5.30692003
29-10-17,4300327.168,1532,185115000,29.35,1562360,5675.777224,15.41871751
30-10-17,9986884.241,2002,177022000,30.25,725660,6035.772979,8.69496896
